id,name,deadline_time,average_entry_score,highest_score,most_selected,most_transferred_in,top_element,transfers_made,finished,is_current,is_next
1,Gameweek 1,2026-08-21T17:30:00Z,0,,,,,0,False,False,True
2,Gameweek 2,2026-08-28T17:30:00Z,0,,,,,0,False,False,False
3,Gameweek 3,2026-09-04T17:30:00Z,0,,,,,0,False,False,False
4,Gameweek 4,2026-09-12T12:30:00Z,0,,,,,0,False,False,False
5,Gameweek 5,2026-09-18T17:30:00Z,0,,,,,0,False,False,False
6,Gameweek 6,2026-10-10T12:30:00Z,0,,,,,0,False,False,False
7,Gameweek 7,2026-10-17T12:30:00Z,0,,,,,0,False,False,False
8,Gameweek 8,2026-10-24T12:30:00Z,0,,,,,0,False,False,False
9,Gameweek 9,2026-10-31T13:30:00Z,0,,,,,0,False,False,False
10,Gameweek 10,2026-11-07T13:30:00Z,0,,,,,0,False,False,False
11,Gameweek 11,2026-11-21T13:30:00Z,0,,,,,0,False,False,False
12,Gameweek 12,2026-11-28T13:30:00Z,0,,,,,0,False,False,False
13,Gameweek 13,2026-12-02T18:30:00Z,0,,,,,0,False,False,False
14,Gameweek 14,2026-12-05T13:30:00Z,0,,,,,0,False,False,False
15,Gameweek 15,2026-12-12T13:30:00Z,0,,,,,0,False,False,False
16,Gameweek 16,2026-12-19T13:30:00Z,0,,,,,0,False,False,False
17,Gameweek 17,2026-12-26T13:30:00Z,0,,,,,0,False,False,False
18,Gameweek 18,2026-12-30T18:30:00Z,0,,,,,0,False,False,False
19,Gameweek 19,2027-01-02T13:30:00Z,0,,,,,0,False,False,False
20,Gameweek 20,2027-01-06T18:30:00Z,0,,,,,0,False,False,False
21,Gameweek 21,2027-01-16T13:30:00Z,0,,,,,0,False,False,False
22,Gameweek 22,2027-01-23T13:30:00Z,0,,,,,0,False,False,False
23,Gameweek 23,2027-01-30T13:30:00Z,0,,,,,0,False,False,False
24,Gameweek 24,2027-02-06T13:30:00Z,0,,,,,0,False,False,False
25,Gameweek 25,2027-02-10T18:30:00Z,0,,,,,0,False,False,False
26,Gameweek 26,2027-02-20T13:30:00Z,0,,,,,0,False,False,False
27,Gameweek 27,2027-02-27T13:30:00Z,0,,,,,0,False,False,False
28,Gameweek 28,2027-03-03T18:30:00Z,0,,,,,0,False,False,False
29,Gameweek 29,2027-03-13T13:30:00Z,0,,,,,0,False,False,False
30,Gameweek 30,2027-03-20T13:30:00Z,0,,,,,0,False,False,False
31,Gameweek 31,2027-04-10T12:30:00Z,0,,,,,0,False,False,False
32,Gameweek 32,2027-04-17T12:30:00Z,0,,,,,0,False,False,False
33,Gameweek 33,2027-04-24T12:30:00Z,0,,,,,0,False,False,False
34,Gameweek 34,2027-05-01T12:30:00Z,0,,,,,0,False,False,False
35,Gameweek 35,2027-05-08T12:30:00Z,0,,,,,0,False,False,False
36,Gameweek 36,2027-05-15T12:30:00Z,0,,,,,0,False,False,False
37,Gameweek 37,2027-05-23T12:30:00Z,0,,,,,0,False,False,False
38,Gameweek 38,2027-05-30T13:30:00Z,0,,,,,0,False,False,False
